pos,team,played,won,loss,draw
1,France,7,6,0,1
2,Croatia,7,6,1,0
3,Belgium,7,6,1,0
4,England,7,4,3,0
5,Uruguay,5,4,1,0
6,Brazil,5,3,1,1
7,Sweden,5,3,2,0
8,Russia,5,3,2,0
9,Argentina,4,1,2,1
10,Portugal,4,1,1,2
11,Spain,4,1,1,2
12,Denmark,4,1,1,2
13,Mexico,4,2,2,0
14,Japan,4,1,2,1,
15,Switzerland,4,1,1,2
16,Colombia,4,2,2,0
17,Saudi Arabia,3,1,2,0
18,Egypt,3,0,3,0
19,Iran,3,1,1,1
20,Morocco,3,0,2,1
21,Peru,3,1,2,0
22,Australia,3,0,2,1
23,Nigeria,3,1,2,0
24,Iceland,3,0,2,1
25,Serbia,3,1,2,0
26,Costa Rica,3,0,2,1
27,South Korea,3,1,2,0
28,Germany,3,1,2,0
29,Tunisia,3,1,2,0
30,Panama,3,0,3,0
31,Senegal,3,1,1,1
32,Poland,3,1,2,0
